,name,start
1626,Птица Говорун,2010-09-11 00:00:00
1521,Турнир памяти Дмитрия Папичева,2010-09-18 00:00:00
1522,Соликамская осень,2010-09-18 00:00:00
1929,Кубок Европы среди студентов,2010-09-17 00:00:00
1523,Малая Земля,2010-09-26 00:00:00
1524,Город героев,2010-10-02 00:00:00
1625,Бархатный сезон (КК),2010-10-01 00:00:00
1628,Чемпионат Украины. Переходный этап,2010-10-02 00:00:00
1525,Онтариада,2010-10-09 00:00:00
1623,Дятлов кубок,2010-10-09 00:00:00
1638,Кубок Мюнхгаузена,2010-10-09 00:00:00
1644,Кубок Еревана,2010-10-10 00:00:00
1652,Чемпионат Москвы. Отбор. Первый этап,2010-10-10 00:00:00
1654,Чемпионат Москвы. Отбор. Второй этап,2010-10-10 00:00:00
1655,Чемпионат Москвы. Отбор. Третий этап,2010-10-10 00:00:00
1657,Чемпионат Челябинска,2010-10-10 00:00:00
1526,Кубок провинций,2010-10-17 00:00:00
1639,Чемпионат Тюменской области,2010-10-16 00:00:00
1651,Львов Open,2010-10-16 00:00:00
1527,Кубок вМоГоТУ,2010-10-30 00:00:00
1684,Кубок акима Мангистауской области,2010-10-30 00:00:00
1633,Псковские снетки,2010-10-30 00:00:00
1634,Кубок Хэллоуина,2010-10-30 00:00:00
1645,Чемпионат Нижневартовска,2010-10-31 00:00:00
1650,Кубок Полесья,2010-10-30 00:00:00
1653,Енисейская знать,2010-10-31 00:00:00
1640,Пермский период,2010-11-04 00:00:00
1646,Горький октябрь 2,2010-11-06 00:00:00
1529,Горький октябрь,2010-11-04 00:00:00
1532,Знатокиада - Чемпионат мира,2010-11-12 00:00:00
1533,Чемпионат мира. Финал,2010-11-14 00:00:00
1688,Кубок Волгограда. Апертура,2010-11-14 00:00:00
1682,Чемпионат Саранска. Высшая лига,2010-11-17 00:00:00
1668,Волжские зори,2010-11-20 00:00:00
1685,Нестерка,2010-11-20 00:00:00
1536,Гостиный двор,2010-11-27 00:00:00
1662,Покорение Сибири,2010-11-27 00:00:00
1666,Гвидон,2010-11-27 00:00:00
1667,Чемпионат Украины. Первый этап,2010-11-27 00:00:00
1697,Чемпионат Саратова,2010-10-10 00:00:00
1698,Кубок Волгограда. Костарикатура,2010-11-28 00:00:00
1669,Владимирский фестиваль,2010-12-04 00:00:00
1530,Самариум,2010-12-04 00:00:00
1689,Беловежская зима,2010-12-04 00:00:00
1701,Чемпионат Санкт-Петербурга. Высшая лига,2010-10-10 00:00:00
1705,Чемпионат Санкт-Петербурга. Первая лига,2010-10-10 00:00:00
1706,Чемпионат Свердловской области,2010-12-04 00:00:00
1690,Чемпионат Ивантеевки,2010-12-09 00:00:00
1719,Чемпионат Уфы,2010-12-11 00:00:00
1696,Синхронный кубок Беларуси,2010-12-12 00:00:00
1702,Кубок Узбекистана,2010-12-11 00:00:00
1703,Турнир в Актау,2010-12-12 00:00:00
1747,Чемпионат Нижнего Новгорода,2010-09-12 00:00:00
1534,Открытый кубок России,2010-12-18 00:00:00
1713,Открытый кубок Караганды,2010-12-25 00:00:00
1642,Открытый кубок Мордовии,2010-12-25 00:00:00
1694,Неспростая зима,2010-12-26 00:00:00
1708,Всеармянский интеллектуальный фестиваль,2010-12-28 00:00:00
1665,Холодная голова,2011-01-04 00:00:00
1676,Краснодарский рождественский турнир,2011-01-07 00:00:00
1631,Фестиваль памяти Сергея Некрасова,2011-01-07 00:00:00
1712,Кубок Хайфы,2011-01-08 00:00:00
1704,Кубок памяти Азиза Алиева,2011-01-09 00:00:00
1660,"Турнир, посвящённый 10-летию клуба Эдука",2011-01-15 00:00:00
1647,Кубок Белого Кролика,2011-01-15 00:00:00
1683,Открытый кубок Зеленограда,2011-01-23 00:00:00
1722,Кубок Сигулды,2011-01-22 00:00:00
1735,Поволжская лига. Ульяновск,2011-01-23 00:00:00
1707,Зимник,2011-01-29 00:00:00
1723,Кубок ректора Болашака,2011-01-29 00:00:00
1635,Азовский бриз,2011-01-30 00:00:00
1693,Открытый кубок Азии,2011-01-29 00:00:00
1714,Снегурочка,2011-01-28 00:00:00
1734,Кубок Волгограда. Сигнатура,2011-01-30 00:00:00
1736,Поволжская лига. Самара,2011-02-06 00:00:00
1733,Чемпионат Беларуси,2011-02-12 00:00:00
1699,Мемориал Дмитрия Коноваленко - Кубок ДоДона,2011-02-19 00:00:00
1720,Февральская СКАзка,2011-02-19 00:00:00
1739,Открытое Первенство Сибири,2011-02-25 00:00:00
1717,МГИМО Опен,2011-02-26 00:00:00
1750,Чемпионат Москвы. Вторая лига. Дивизион МГТУ,2010-12-11 00:00:00
1741,Игры доброй воли,2011-02-27 00:00:00
1718,МГИМО Опен - синхрон,2011-02-23 00:00:00
1726,Синхрон Первенства Сибири,2011-02-26 00:00:00
1737,Поволжская лига. Саратов,2011-02-20 00:00:00
1710,Чемпионат России,2011-03-06 00:00:00
1732,Чемпионат Украины. Второй этап,2011-03-06 00:00:00
1761,Кубок акима. Финал,2011-03-12 00:00:00
1535,Открытый Всероссийский синхронный чемпионат,2010-09-26 00:00:00
1744,Поволжская лига. Саранск,2011-03-13 00:00:00
1763,Купаловский турнир,2011-03-12 00:00:00
1758,Мартовский лев,2011-03-19 00:00:00
1624,Центрально-Европейская лига,2010-09-18 00:00:00
1709,Весна в ЛЭТИ,2011-03-19 00:00:00
1724,Весна на Лисьей горе,2011-03-19 00:00:00
1759,Могилёвский полтинник,2011-03-20 00:00:00
1778,Кубок Волгограда. Клаусура,2011-03-20 00:00:00
1837,Чемпионат Харькова. Вторая лига,2010-11-08 00:00:00
1663,Чемпионат Украины. Вторая лига,2010-11-06 00:00:00
1795,Чемпионат Кривого Рога. Первая лига,2010-11-06 00:00:00
1716,Кубок Губернатора Тверской области,2011-03-26 00:00:00
1743,Поволжская лига. Нижний Новгород,2011-03-27 00:00:00
1756,Неспростая весна,2011-03-27 00:00:00
1757,Весна в Кармиэле,2011-03-27 00:00:00
1760,Кубок Конька-Горбунка,2011-03-26 00:00:00
1838,Чемпионат Ровно,2010-09-20 00:00:00
1531,Кубок городов,2011-04-02 00:00:00
1641,Чемпионат Мордовии,2010-10-17 00:00:00
2067,Кубок Московской области,2011-04-09 00:00:00
1721,Интеллектуальная ворона,2011-04-10 00:00:00
1745,Поволжская лига. Казань - Волгоград,2011-04-10 00:00:00
1754,New Wave,2011-04-09 00:00:00
1779,Кубок губернатора Мурманской области,2011-04-09 00:00:00
1836,Чемпионат Харькова. Первая лига,2010-10-18 00:00:00
1661,Открытый кубок университетов U3,2010-10-28 00:00:00
1784,Межфакультетский кубок МГУ,2011-04-13 00:00:00
1755,Вологодский областной фестиваль,2011-04-16 00:00:00
1801,Чемпионат Литвы,2011-04-16 00:00:00
1715,Вешние воды,2011-04-17 00:00:00
1751,Нехрустальная Сова,2011-04-16 00:00:00
1768,Студенческий чемпионат России,2011-04-16 00:00:00
1773,Молодёжный чемпионат Магнитогорска,2011-04-17 00:00:00
1787,Уз-лига,2011-04-17 00:00:00
1835,Чемпионат Харькова. Высшая лига,2010-10-17 00:00:00
1686,Чемпионат МУБК - Чемпионат Москвы. Вторая лига,2010-11-17 00:00:00
1864,Балтийский Берег - Висагинас,2010-09-20 00:00:00
1752,Открытый кубок Алматы,2011-04-23 00:00:00
1765,Кубок Физтеха,2011-04-24 00:00:00
1769,Сибирские Афины,2011-04-23 00:00:00
1968,Чемпионат Республики Татарстан,2011-04-24 00:00:00
1808,Золотая звезда,2011-04-26 00:00:00
1796,Чемпионат Израиля,2011-04-30 00:00:00
1797,Чемпионат Кривого Рога. Высшая лига,2010-11-06 00:00:00
1802,Чемпионат Эстонии,2011-04-30 00:00:00
1803,Открытый чемпионат Караганды,2011-04-30 00:00:00
1753,Открытый чемпионат США,2011-04-29 00:00:00
1770,Кубок княгини Ольги,2011-04-30 00:00:00
1798,Чемпионат Латвии,2011-05-01 00:00:00
1825,Вальпургиева ночь,2011-04-30 00:00:00
1862,Школьный чемпионат Армении,2011-05-01 00:00:00
1916,Чемпионат Германии,2011-04-30 00:00:00
1748,Саратов,2011-05-01 00:00:00
1785,Абрскил,2011-04-30 00:00:00
1807,Чемпионат Туркменистана,2011-05-01 00:00:00
1775,Чемпионат Узбекистана,2011-05-07 00:00:00
1781,AU,2011-05-07 00:00:00
1823,Кубок славы,2011-05-08 00:00:00
1830,Открытый кубок клуба Атяшгях,2011-05-08 00:00:00
1774,Благородный Дон,2011-05-08 00:00:00
1792,Чемпионат Минска,2010-10-05 00:00:00
1819,Чемпионат Молдовы. Румынский этап,2011-05-14 00:00:00
1829,Чемпионат Финляндии,2011-05-14 00:00:00
1725,Окский мост,2011-05-14 00:00:00
1764,Окский съезд,2011-05-14 00:00:00
1783,Кубок Центрально-Европейской лиги,2011-05-14 00:00:00
1804,Кубок Югры,2011-05-14 00:00:00
1812,Отклик,2011-05-15 00:00:00
1833,Чемпионат Сибирской лиги,2011-02-20 00:00:00
1687,Чемпионат Москвы. Вторая лига. Дивизион ГУ-ВШЭ,2010-11-19 00:00:00
1799,День физика - Открытый кубок МГУ,2011-05-20 00:00:00
1793,Чемпионат Бреста,2010-12-17 00:00:00
1839,Чемпионат Приазовья,2010-10-31 00:00:00
1859,Кубок ГУМФ,2011-05-21 00:00:00
1648,Кубок Украины,2011-05-21 00:00:00
1738,Ревельская весна,2011-05-21 00:00:00
1762,Шестой блин - Десятая осень,2011-05-21 00:00:00
1771,Каменный цветок,2011-05-21 00:00:00
1794,Кубок Алексея Карапетова,2011-05-21 00:00:00
1821,Чемпионат Великобритании,2011-05-22 00:00:00
1974,Чемпионат Краснодара,2010-09-12 00:00:00
1840,Чемпионат Даугавпилса,2010-09-22 00:00:00
1826,Горячие головы,2011-05-25 00:00:00
1791,ВДИ. Финал,2011-05-28 00:00:00
1820,Чемпионат Молдовы. Русский этап,2011-05-28 00:00:00
1831,Командум,2011-05-28 00:00:00
1777,Симбирск Опен,2011-05-28 00:00:00
1805,Весенний чемпионат Нижневартовска,2011-05-29 00:00:00
1809,Открытый кубок Магнитогорска,2011-05-29 00:00:00
1813,Чемпионат Канады,2011-05-29 00:00:00
1828,Кубок Замкадья,2011-05-29 00:00:00
1870,Финал сезона,2011-05-29 00:00:00
1978,Чемпионат Воронежа,2010-09-01 00:00:00
1622,Балтийский берег,2010-09-16 00:00:00
1790,Кубок Иерусалима,2011-06-03 00:00:00
1871,Балтийский Берег - Калуга,2010-09-22 00:00:00
1872,Балтийский Берег - Вильнюс,2010-09-22 00:00:00
1873,Балтийский Берег - Тарту,2010-09-22 00:00:00
1877,Балтийский Берег - Великий Новгород,2010-09-22 00:00:00
1711,Чемпионат Москвы. Первая лига,2011-01-15 00:00:00
1811,Наше всё,2011-06-04 00:00:00
1869,Кубок двух клубов,2011-06-04 00:00:00
1780,Кубок ЛКИ,2011-06-05 00:00:00
1827,Открытый чемпионат Еревана,2011-06-05 00:00:00
1843,Кубок Ровно,2010-09-03 00:00:00
1852,Открытый чемпионат Армении,2011-06-12 00:00:00
1806,Кубок Метрополии,2011-06-13 00:00:00
1810,Чемпионат Москвы. Высшая лига,2010-10-23 00:00:00
1860,& (Волыхов & Штратникова),2011-06-18 00:00:00
1834,Чемпионат Самары,2010-10-17 00:00:00
1874,Чемпионат Казахстана,2011-06-18 00:00:00
1888,Чемпионат Грузии,2011-06-18 00:00:00
1898,Чемпионат Ростовской области. Высшая лига,2010-10-24 00:00:00
1899,Чемпионат Ростовской области. Первая лига,2010-10-24 00:00:00
1979,Чемпионат Новосибирска,2010-10-10 00:00:00
1782,Чемпионат Москвы. Вторая лига. Дивизион Лианозово,2010-11-26 00:00:00
1851,Пущинские просторы,2011-06-25 00:00:00
1766,Летний Днепрофест,2011-06-26 00:00:00
1886,Чемпионат Владикавказа,2011-06-27 00:00:00
1876,Чемпионат Зеленограда. Первая лига,2010-12-05 00:00:00
1846,Белые ночи,2011-07-02 00:00:00
1865,Открытый чемпионат Реутова,2011-07-10 00:00:00
1875,Чемпионат Зеленограда. Высшая лига,2011-01-16 00:00:00
1885,МАСКА. Memory. Турнир памяти Марии Карповой,2011-07-17 00:00:00
1932,Суперлига Израиля,2011-02-19 00:00:00
1878,Чемпионат Южного Кавказа,2011-07-29 00:00:00
1890,Казка-2011,2011-07-29 00:00:00
1900,Летний кубок Волгограда,2011-07-31 00:00:00
1868,Покорение Меотиды. Олимпийский турнир,2011-08-12 00:00:00
1814,Покорение Меотиды. Гала-турнир,2011-08-13 00:00:00
1904,Янтарная сова,2011-08-13 00:00:00
1867,Летние зори. Олимпийский кубок,2011-08-18 00:00:00
1844,Летние зори. Гала-турнир,2011-08-20 00:00:00
1866,Кубок независимости Узбекистана,2011-08-20 00:00:00
1901,Кубок независимости Украины,2011-08-27 00:00:00
1863,Славянка,2011-08-27 00:00:00
1815,Бархатный сезон,2011-09-03 00:00:00
1882,Олимпийский кубок ЛУК,2011-09-03 00:00:00
1907,Кубок Тель-Авива,2011-09-04 00:00:00
1857,Кубок Апокалипсиса,2011-09-11 00:00:00
1880,Фестиваль под Киевом,2011-09-10 00:00:00
1893,Чемпионат мира,2011-09-17 00:00:00
1902,Соликамская осень,2011-09-17 00:00:00
1906,Монос вызга,2011-09-16 00:00:00
1891,Interra InCognita,2011-09-24 00:00:00
1939,Проба пера,2011-10-01 00:00:00
1879,Чемпионат Украины. Предварительный этап,2011-10-01 00:00:00
1884,Город героев,2011-10-01 00:00:00
1881,Открытый кубок Мордовии,2011-10-08 00:00:00
1903,Байкальский фестиваль,2011-10-08 00:00:00
1938,Осенний чемпионат Тюменской области,2011-10-08 00:00:00
1953,Чемпионат Курска,2011-10-09 00:00:00
1816,Кубок провинций,2011-10-15 00:00:00
3060,Кубок школ,2011-10-16 00:00:00
1940,Нестерка,2011-10-21 00:00:00
1955,Чемпионат Москвы. Отбор,2011-10-23 00:00:00
1959,Мудрая сова,2011-10-23 00:00:00
1925,Кубок вМоГоТУ,2011-10-29 00:00:00
1858,Горький октябрь,2011-10-30 00:00:00
1922,Горький октябрь. Доп. турнир,2011-10-29 00:00:00
1924,Кубок Ломоносова,2011-10-29 00:00:00
1944,Енисейская знать,2011-10-29 00:00:00
1952,Кубок Уралвагонзавода,2011-10-29 00:00:00
1848,Кубок Хэллоуина,2011-11-05 00:00:00
1887,Осенний фестиваль в Денвере,2011-11-04 00:00:00
1915,Псковские снетки,2011-11-05 00:00:00
1921,Самариум,2011-11-04 00:00:00
1942,Кубок Полесья,2011-11-05 00:00:00
1950,Осенний чемпионат Нижневартовска,2011-11-06 00:00:00
1943,Малая Земля,2011-11-12 00:00:00
1905,Гостиный двор,2011-11-12 00:00:00
1930,Кубок Европы среди студентов,2011-11-11 00:00:00
1957,Открытый чемпионат Архангельска,2011-11-13 00:00:00
1967,Чемпионат Екатеринбурга и Свердловской области,2011-11-12 00:00:00
2027,Студенческий чемпионат СПб,2011-09-28 00:00:00
1947,Открытый кубок МГУ,2011-11-19 00:00:00
1895,Кубок Губернатора Днепропетровской области,2011-11-19 00:00:00
1951,Гвидон,2011-11-19 00:00:00
1960,Кубок Волгограда. Апертура,2011-11-20 00:00:00
1969,Чемпионат Санкт-Петербурга. Высшая лига,2011-10-09 00:00:00
1970,Чемпионат Санкт-Петербурга. Первая лига,2011-10-09 00:00:00
1976,Чемпионат Саратова,2011-10-09 00:00:00
2060,Кубок вузов Республики Татарстан,2011-11-20 00:00:00
1945,Покорение Сибири - Чемпионат Тюмени,2011-11-26 00:00:00
1956,Волжские зори,2011-11-25 00:00:00
1971,Кубок Мюнхгаузена,2011-11-26 00:00:00
1973,Чемпионат Долгопрудного,2011-11-27 00:00:00
1972,Чемпионат Саранска. Высшая лига,2011-11-29 00:00:00
1981,Чемпионат Нижнего Новгорода,2011-09-01 00:00:00
1911,Знатокиада,2011-12-02 00:00:00
1985,Осенний кубок Волгограда,2011-12-03 00:00:00
1980,Мемориал Сидлецкого,2011-12-03 00:00:00
1989,Знатокиада. Всеобщий открытый турнир,2011-12-04 00:00:00
1992,Кубок Беларуси,2011-12-04 00:00:00
1982,Чемпионат Калуги,2011-09-20 00:00:00
1966,ДжаСТ,2011-12-09 00:00:00
1962,Кубок мэра Казани,2011-12-10 00:00:00
1964,Беловежская зима,2011-12-10 00:00:00
1817,Открытый кубок России,2011-12-09 00:00:00
1990,За минуту до полуночи,2011-12-16 00:00:00
1961,Чемпионат Ивантеевки,2011-12-18 00:00:00
1993,Чемпионат Ташкента,2011-12-25 00:00:00
1997,Всеармянский интеллектуальный фестиваль,2011-12-25 00:00:00
2000,Кубок Акима Караганды,2011-12-25 00:00:00
1994,Кубок ДСМП,2011-12-26 00:00:00
1946,Краснодарский рождественский турнир,2012-01-07 00:00:00
1949,Фестиваль памяти Сергея Некрасова,2012-01-06 00:00:00
1965,Холодная голова,2012-01-04 00:00:00
2030,Рождественский турнир,2012-01-07 00:00:00
1986,Кубок Хайфы,2012-01-07 00:00:00
2012,Кубок памяти Азиза Алиева,2012-01-08 00:00:00
1987,Зимний Днепрофест,2012-01-09 00:00:00
1853,Кубок чёрного дракона,2012-01-15 00:00:00
1988,Кубок Волгограда. Сигнатура,2012-01-15 00:00:00
1996,Кубок Сигулды,2012-01-14 00:00:00
1963,Открытый кубок Зеленограда,2012-01-22 00:00:00
1991,Неспростая зима,2012-01-22 00:00:00
2042,Поволжская лига. Волгоград,2012-01-22 00:00:00
1849,Азовский бриз,2012-01-29 00:00:00
1995,Синхронный кубок Зеленограда,2012-02-04 00:00:00
2010,Зимник,2012-02-04 00:00:00
2057,Поволжская лига. Самара,2012-02-05 00:00:00
2032,Чемпионат Беларуси,2012-02-11 00:00:00
2001,Мемориал Дмитрия Коноваленко,2012-02-18 00:00:00
2036,Субботняя СКАзка,2012-02-18 00:00:00
1926,Кубок весей,2012-02-18 00:00:00
2002,Кубок ДоДона,2012-02-19 00:00:00
2015,Чемпионат Казахстана,2012-02-18 00:00:00
2037,Воскресная СКАзка,2012-02-19 00:00:00
2058,Поволжская лига. Казань,2012-02-19 00:00:00
2041,Открытое Первенство Сибири. Школьники,2012-02-23 00:00:00
2020,Открытое Первенство Сибири,2012-02-23 00:00:00
2063,Студенческий региональный чемпионат,2012-02-24 00:00:00
2003,mgimo.open,2012-02-25 00:00:00
2028,Кубок Волгограда. Костарикатура,2012-02-26 00:00:00
2062,Чемпионат Ростовской области среди студентов,2012-02-26 00:00:00
2071,Студенческий чемпионат Нижнего Новгорода,2012-02-26 00:00:00
2031,Синхрон Первенства Сибири,2012-03-03 00:00:00
1854,Открытый Всероссийский синхронный чемпионат,2011-09-25 00:00:00
1896,Мартовские виды - Чемпионат Украины (2 этап),2012-03-10 00:00:00
1928,Смена,2011-09-25 00:00:00
2033,Абсолютный чемпионат Тюменской области,2012-03-07 00:00:00
1892,Чемпионат Украины. Вторая лига,2011-11-12 00:00:00
2039,Студенческий чемпионат Москвы,2012-03-17 00:00:00
1977,Кубок металлургов,2012-03-18 00:00:00
2011,Весна в ЛЭТИ,2012-03-17 00:00:00
2074,Чемпионат Мордовии,2011-11-27 00:00:00
2100,Чемпионат Ц-лиги,2011-09-17 00:00:00
2064,Интеллект-Арена ЯрГУ,2012-03-24 00:00:00
2016,Caspian Cup,2012-03-22 00:00:00
2019,Кубок 35,2012-03-24 00:00:00
2044,Неспростая весна,2012-03-25 00:00:00
2056,Поволжская лига. Саранск,2012-03-25 00:00:00
2070,Чемпионат Московской области,2011-10-23 00:00:00
1818,Кубок городов,2012-03-31 00:00:00
2139,Чемпионат Зеленограда. Высшая лига,2011-12-18 00:00:00
2092,Чемпионат Харькова. Вторая лига,2011-10-31 00:00:00
2128,Чемпионат Сибирской лиги,2011-11-06 00:00:00
2023,Интеллектуальная ворона - синхрон,2012-04-07 00:00:00
2046,Открытый кубок Правобережья,2012-04-07 00:00:00
2055,Поволжская лига. Нижний Новгород,2012-04-08 00:00:00
2076,Открытый кубок Серпухова,2012-04-08 00:00:00
2007,Чемпионат Москвы. Вторая лига. Дивизион НИУ ВШЭ,2012-01-20 00:00:00
2026,Открытый кубок МГПУ,2012-04-14 00:00:00
2054,Поволжская лига. Саратов-Ульяновск,2012-04-15 00:00:00
2068,Кубок Московской области,2012-04-15 00:00:00
2140,Чемпионат Зеленограда. Первая лига,2011-10-30 00:00:00
2079,Межфакультетский кубок МГУ,2012-04-19 00:00:00
1941,Открытый кубок Азии,2012-04-20 00:00:00
1998,Вешние воды,2012-04-22 00:00:00
2017,Кубок Губернатора Мурманской области,2012-04-21 00:00:00
2025,Студенческий чемпионат России,2012-04-21 00:00:00
2029,Кубок Волгограда. Клаусура,2012-04-22 00:00:00
2059,Чемпионат США,2012-04-20 00:00:00
2090,Чемпионат Харькова. Высшая лига,2011-10-16 00:00:00
2126,Чемпионат Волгограда,2011-10-16 00:00:00
2233,Чемпионат Харькова. Первая лига,2011-10-16 00:00:00
1935,Лига. Кубок,2011-09-19 00:00:00
1936,Кубок Ровно,2011-09-16 00:00:00
2009,Чемпионат МУБК - Чемпионат Москвы. Вторая лига,2012-02-29 00:00:00
2098,Чемпионат Эстонии,2012-04-28 00:00:00
2066,Молодёжный чемпионат Магнитогорска,2012-04-29 00:00:00
2082,Нижнетагильский фестиваль,2012-04-29 00:00:00
2091,Чемпионат Великобритании,2012-04-29 00:00:00
2097,Чемпионат Латвии,2012-04-29 00:00:00
1850,Турнир святой Вальпурги,2012-04-29 00:00:00
2040,Нехрустальная Сова,2012-04-30 00:00:00
2038,Саратов,2012-04-29 00:00:00
1984,Чемпионат Туркменистана,2012-05-05 00:00:00
2018,Чемпионат Молдовы,2012-05-05 00:00:00
2053,Чемпионат Израиля,2012-05-05 00:00:00
2122,Чемпионат Германии,2012-05-05 00:00:00
2099,Чемпионат Узбекистана,2012-05-05 00:00:00
2101,Олимпийский кубок Ростова,2012-05-06 00:00:00
2034,Каменный цветок,2012-05-06 00:00:00
2073,AU,2012-05-06 00:00:00
2081,Кубок Югры,2012-05-06 00:00:00
2109,Абрскил,2012-05-06 00:00:00
2131,НеНехрустальная сова,2012-05-01 00:00:00
1948,Чемпионат Львовской области,2011-10-08 00:00:00
2110,Чемпионат Финляндии,2012-05-12 00:00:00
2119,Чемпионат Ростовской области. Высшая лига,2011-10-23 00:00:00
2120,Чемпионат Ростовской области. Первая лига,2011-10-23 00:00:00
2115,День физика,2012-05-18 00:00:00
2024,Чемпионат Кривого Рога. Высшая лига,2011-10-01 00:00:00
2118,Чемпионат Бреста,2011-10-20 00:00:00
1897,Знатоки в Алуште - Кубок Украины,2012-05-19 00:00:00
1919,Кубок Победы,2012-05-20 00:00:00
1983,Чемпионат России,2012-05-19 00:00:00
2004,Чемпионат Ейска. Высшая лига,2011-11-06 00:00:00
2043,Ревельская весна,2012-05-19 00:00:00
2048,Чемпионат Канады,2012-05-19 00:00:00
2065,Хрустальный голем,2012-05-17 00:00:00
1856,Окский мост,2012-05-19 00:00:00
2052,Кубок Иерусалима,2012-05-25 00:00:00
1845,Кубок чемпионов - Финал ВДИ,2012-05-27 00:00:00
2045,Седьмой блин,2012-05-27 00:00:00
2083,Командум,2012-05-27 00:00:00
2093,Сибирские Афины,2012-05-26 00:00:00
2105,Кубок Гилеля,2012-05-28 00:00:00
1937,Чемпионат Ровно,2011-09-11 00:00:00
1931,Балтийский берег,2011-10-07 00:00:00
1934,Лига. Чемпионат,2011-09-23 00:00:00
2008,Чемпионат Воронежа,2011-09-25 00:00:00
2171,Весенний Кубок Волгограда,2012-05-19 00:00:00
2035,Знатокиада,2012-06-02 00:00:00
2075,Ultima Tule,2012-06-02 00:00:00
2125,Кубок двух клубов,2012-06-03 00:00:00
2135,Знатокиада. Всеобщий открытый турнир,2012-06-02 00:00:00
2230,Чемпионат Новосибирска,2011-11-13 00:00:00
2072,Балтийский Берег - Вильнюс,2011-10-10 00:00:00
2094,Майский жук,2012-06-01 00:00:00
2104,Балтийский Берег - Хайфа,2011-10-10 00:00:00
2107,Балтийский Берег - Прага,2011-10-10 00:00:00
2124,Балтийский Берег - Казань,2011-10-10 00:00:00
2103,Балтийский Берег - Владимир,2011-10-10 00:00:00
2106,Балтийский Берег - Калуга,2011-10-10 00:00:00
2130,Чемпионат Азербайджана,2012-06-09 00:00:00
2005,Чемпионат Москвы. Высшая лига,2011-12-18 00:00:00
1927,Мемориал Диара Туганбаева,2012-06-09 00:00:00
2069,Кубок Замкадья,2012-06-10 00:00:00
2006,Чемпионат Москвы. Первая лига,2012-02-01 00:00:00
2108,Кубок княгини Ольги,2012-06-16 00:00:00
2121,Пущинские просторы,2012-06-16 00:00:00
2127,Весенний чемпионат Нижневартовска,2012-06-17 00:00:00
2111,& (Амперсанд),2012-06-16 00:00:00
2132,Открытый чемпионат Караганды,2012-06-18 00:00:00
1954,Кубок Метрополии,2012-06-24 00:00:00
2129,Летний Днепрофест,2012-06-28 00:00:00
2112,Ивантеллект,2012-06-29 00:00:00
2123,Попутный ветер,2012-06-30 00:00:00
2133,Чемпионат Грузии,2012-06-30 00:00:00
2134,Чемпионат Армении,2012-07-01 00:00:00
2047,Белые ночи,2012-07-07 00:00:00
2259,Суперлига Израиля,2012-02-18 00:00:00
2114,Black Sea Open Cup,2012-07-27 00:00:00
2154,Покорение Меотиды. Олимпийский кубок,2012-08-03 00:00:00
2078,Покорение Меотиды. Гала-турнир,2012-08-04 00:00:00
2084,Славянка,2012-08-04 00:00:00
2173,Чемпионат Самары,2011-10-30 00:00:00
2095,Летние зори. Олимпийский кубок,2012-08-16 00:00:00
2096,Летние зори. Гала-турнир,2012-08-18 00:00:00
2162,Занки,2012-08-25 00:00:00
2102,Бархатный сезон,2012-08-25 00:00:00
2160,Кубок имени Ярослава Окуневского,2012-08-26 00:00:00
2163,Янтарная сова,2012-08-25 00:00:00
2137,Ахтубинский бриз,2012-08-21 00:00:00
2186,Пущинские просторы. Экспорт,2012-07-01 00:00:00
2159,Открытый чемпионат Реутова,2012-09-02 00:00:00
2086,Чемпионат мира. Отборочный турнир,2012-09-08 00:00:00
2168,Чемпионат мира. Малый финал,2012-09-09 00:00:00
2169,Чемпионат мира. Финал,2012-09-09 00:00:00
2158,Синхрон Моносова,2012-09-08 00:00:00
2170,Олимпийский Кубок Киева. Гладкий зачёт,2012-09-15 00:00:00
2136,Открытый чемпионат Смоленска,2012-09-15 00:00:00
2200,Бархатный сезон (КК),2012-09-15 00:00:00
2138,Осенний Ёж,2012-09-22 00:00:00
2149,Чемпионат Украины. Предварительный этап,2012-09-22 00:00:00
2049,Город героев,2012-09-22 00:00:00
2176,Кубок Полесья,2012-09-22 00:00:00
2050,Малая Земля,2012-09-30 00:00:00
2116,Кубок Губернатора Тверской области,2012-09-29 00:00:00
2172,Осенний чемпионат Тюменской области,2012-09-29 00:00:00
2190,Тут под Львовским Замком,2012-10-06 00:00:00
2202,Чемпионат Москвы. Отбор. Первый этап,2012-10-07 00:00:00
2203,Чемпионат Москвы. Отбор. Второй этап,2012-10-07 00:00:00
2204,Чемпионат Москвы. Отбор. Третий этап,2012-10-07 00:00:00
2705,Байкальский фестиваль,2012-10-07 00:00:00
2113,Северная Сова,2012-10-12 00:00:00
2197,Покровские встречи,2012-10-14 00:00:00
2180,Кубок провинций,2012-10-13 00:00:00
2161,Кубок вМоГоТУ,2012-10-20 00:00:00
2150,Олимпийский кубок ЛУК,2012-10-20 00:00:00
2192,Нестерка,2012-10-20 00:00:00
2174,Горький октябрь 2,2012-10-27 00:00:00
2194,Рукописи не горят,2012-10-27 00:00:00
2196,Чемпионат Тулы,2012-10-27 00:00:00
2185,Енисейская знать,2012-10-27 00:00:00
2164,Горький октябрь,2012-10-27 00:00:00
2350,Кубок вузов Республики Татарстан,2012-11-03 00:00:00
2085,Кубок Тель-Авива,2012-11-04 00:00:00
